event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,Spillers samlede antal skud | Alexis Mac Allister,,Open,1.4,,,,
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,Spillers samlede antal skud | Alexis Mac Allister,,Open,2.75,,,,
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,Spillers samlede antal skud | Alexis Mac Allister,,Open,6.0,,,,
Arsenal vs Liverpool,Amara Nallo,Over 0.5,Spillers samlede antal skud | Amara Nallo,,Open,2.05,,,,
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spillers samlede antal skud | Amara Nallo,,Open,5.5,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,1.52,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 3.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,2.25,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 4.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,3.7,,,,
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,Spillers samlede antal skud | Andrew Robertson,,Open,2.55,,,,
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,Spillers samlede antal skud | Andrew Robertson,,Open,9.0,,,,
Arsenal vs Liverpool,Ben White,Over 0.5,Spillers samlede antal skud | Ben White,,Open,1.62,,,,
Arsenal vs Liverpool,Ben White,Over 1.5,Spillers samlede antal skud | Ben White,,Open,3.7,,,,
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,Spillers samlede antal skud | Bukayo Saka,,Open,1.55,,,,
Arsenal vs Liverpool,Bukayo Saka,Over 3.5,Spillers samlede antal skud | Bukayo Saka,,Open,2.3,,,,
Arsenal vs Liverpool,Bukayo Saka,Over 4.5,Spillers samlede antal skud | Bukayo Saka,,Open,3.9,,,,
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,Spillers samlede antal skud | Calvin Ramsay,,Open,2.15,,,,
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,Spillers samlede antal skud | Calvin Ramsay,,Open,6.5,,,,
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,Spillers samlede antal skud | Carter Pinnington,,Open,2.05,,,,
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,Spillers samlede antal skud | Carter Pinnington,,Open,5.5,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 1.5,Spillers samlede antal skud | Charles Sagoe Jr,,Open,1.42,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 2.5,Spillers samlede antal skud | Charles Sagoe Jr,,Open,2.2,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 3.5,Spillers samlede antal skud | Charles Sagoe Jr,,Open,3.9,,,,
Arsenal vs Liverpool,Christian Nørgaard,Over 0.5,Spillers samlede antal skud | Christian Nørgaard,,Open,1.4,,,,
Arsenal vs Liverpool,Christian Nørgaard,Over 1.5,Spillers samlede antal skud | Christian Nørgaard,,Open,2.75,,,,
Arsenal vs Liverpool,Christian Nørgaard,Over 2.5,Spillers samlede antal skud | Christian Nørgaard,,Open,6.0,,,,
Arsenal vs Liverpool,Cody Gakpo,Over 0.5,Spillers samlede antal skud | Cody Gakpo,,Open,1.2,,,,
Arsenal vs Liverpool,Cody Gakpo,Over 1.5,Spillers samlede antal skud | Cody Gakpo,,Open,1.95,,,,
Arsenal vs Liverpool,Cody Gakpo,Over 2.5,Spillers samlede antal skud | Cody Gakpo,,Open,3.8,,,,
Arsenal vs Liverpool,Conor Bradley,Over 0.5,Spillers samlede antal skud | Conor Bradley,,Open,2.0,,,,
Arsenal vs Liverpool,Conor Bradley,Over 1.5,Spillers samlede antal skud | Conor Bradley,,Open,5.5,,,,
Arsenal vs Liverpool,Cristhian Mosquera,Over 0.5,Spillers samlede antal skud | Cristhian Mosquera,,Open,4.75,,,,
Arsenal vs Liverpool,Curtis Jones,Over 0.5,Spillers samlede antal skud | Curtis Jones,,Open,1.65,,,,
Arsenal vs Liverpool,Curtis Jones,Over 1.5,Spillers samlede antal skud | Curtis Jones,,Open,3.9,,,,
Arsenal vs Liverpool,Declan Rice,Over 0.5,Spillers samlede antal skud | Declan Rice,,Open,1.16,,,,
Arsenal vs Liverpool,Declan Rice,Over 1.5,Spillers samlede antal skud | Declan Rice,,Open,1.78,,,,
Arsenal vs Liverpool,Declan Rice,Over 2.5,Spillers samlede antal skud | Declan Rice,,Open,3.2,,,,
Arsenal vs Liverpool,Dominik Szoboszlai,Over 0.5,Spillers samlede antal skud | Dominik Szoboszlai,,Open,1.35,,,,
Arsenal vs Liverpool,Dominik Szoboszlai,Over 1.5,Spillers samlede antal skud | Dominik Szoboszlai,,Open,2.5,,,,
Arsenal vs Liverpool,Dominik Szoboszlai,Over 2.5,Spillers samlede antal skud | Dominik Szoboszlai,,Open,5.5,,,,
Arsenal vs Liverpool,Eberechi Eze,Over 1.5,Spillers samlede antal skud | Eberechi Eze,,Open,1.24,,,,
Arsenal vs Liverpool,Eberechi Eze,Over 2.5,Spillers samlede antal skud | Eberechi Eze,,Open,1.72,,,,
Arsenal vs Liverpool,Eberechi Eze,Over 3.5,Spillers samlede antal skud | Eberechi Eze,,Open,2.7,,,,
Arsenal vs Liverpool,Ethan Nwaneri,Over 1.5,Spillers samlede antal skud | Ethan Nwaneri,,Open,1.32,,,,
Arsenal vs Liverpool,Ethan Nwaneri,Over 2.5,Spillers samlede antal skud | Ethan Nwaneri,,Open,2.0,,,,
Arsenal vs Liverpool,Ethan Nwaneri,Over 3.5,Spillers samlede antal skud | Ethan Nwaneri,,Open,3.4,,,,
Arsenal vs Liverpool,Federico Chiesa,Over 0.5,Spillers samlede antal skud | Federico Chiesa,,Open,1.28,,,,
Arsenal vs Liverpool,Federico Chiesa,Over 1.5,Spillers samlede antal skud | Federico Chiesa,,Open,2.25,,,,
Arsenal vs Liverpool,Federico Chiesa,Over 2.5,Spillers samlede antal skud | Federico Chiesa,,Open,4.75,,,,
Arsenal vs Liverpool,Florian Wirtz,Over 0.5,Spillers samlede antal skud | Florian Wirtz,,Open,1.27,,,,
Arsenal vs Liverpool,Florian Wirtz,Over 1.5,Spillers samlede antal skud | Florian Wirtz,,Open,2.2,,,,
Arsenal vs Liverpool,Florian Wirtz,Over 2.5,Spillers samlede antal skud | Florian Wirtz,,Open,4.5,,,,
Arsenal vs Liverpool,Gabriel Jesus,Over 2.5,Spillers samlede antal skud | Gabriel Jesus,,Open,1.35,,,,
